0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:29 +0900] "GET /anafor/css/ajax-loader.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:30 +0900] "GET /anafor/mypage HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:31 +0900] "GET /anafor/css/common.css?v=1655773890992 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:32 +0900] "GET /anafor/shopList.my HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:32 +0900] "GET /anafor/css/common.css?v=1655773892311 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:33 +0900] "GET /anafor/ HTTP/1.1" 200 12848
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:33 +0900] "GET /anafor/css/common.css?v=1655773893295 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:33 +0900] "GET /anafor/css/ajax-loader.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:34 +0900] "GET /anafor/mypage HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:34 +0900] "GET /anafor/css/common.css?v=1655773894349 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:35 +0900] "GET /anafor/checkpw.ur HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:11:35 +0900] "GET /anafor/css/common.css?v=1655773895081 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:12:08 +0900] "GET /anafor/ HTTP/1.1" 200 12848
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:12:08 +0900] "GET /anafor/css/common.css?v=1655773928330 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:12:08 +0900] "GET /anafor/css/common.css?v=1655773928332 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:12:08 +0900] "GET /anafor/css/ajax-loader.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:12:09 +0900] "GET /anafor/mypage HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:12:09 +0900] "GET /anafor/css/common.css?v=1655773929271 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:18 +0900] "GET /anafor/mypage HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:18 +0900] "GET /anafor/css/common.css?v=1655773998246 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:24 +0900] "GET /anafor/ HTTP/1.1" 200 12838
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:24 +0900] "GET /anafor/css/common.css?v=1655774004205 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:24 +0900] "GET /anafor/css/common.css?v=1655774004208 HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:24 +0900] "GET /anafor/css/ajax-loader.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Jun/2022:10:13:24 +0900] "GET /anafor/userLogin HTTP/1.1" 200 5328
